product_group,Código,Designação,TUnd,source_file
Bisoprolol,5586946,"Bisoprolol Krka MG, 10 mg Blister 28 Unidade(s) Comp revest pelic...[28]",18.0,genericos.csv
Bisoprolol,5898903,"Bisoprolol Aquizent MG, 2.5 mg Blister 30 Unidade(s) Comp...[30]",10.0,genericos.csv
Bisoprolol,5742457,"Bisoprolol Generis MG, 5 mg Blister 30 Unidade(s) Comp revest pelic...[30]",4.0,genericos.csv
Bisoprolol,5290598,"Bisoprolol Jaba 5 mg Comprimidos revestidos MG, 5 mg Blister 56 Unidade(s) Comp revest...[56]",4.0,genericos.csv
Bisoprolol,5201819,"Bisoprolol Ciclum MG, 5 mg Blister 56 Unidade(s) Comp revest pelic...[56]",2.0,genericos.csv
Clopidogrel,5238324,"Clopidogrel Krka MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",211.0,genericos.csv
Clopidogrel,5269832,"Clopidogrel Tecnigen MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",143.0,genericos.csv
Clopidogrel,5223151,"Clopidogrel Adapes MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",62.0,genericos.csv
Clopidogrel,5194311,"Clopidogrel toLife MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",56.0,genericos.csv
Clopidogrel,5207717,"Clopidogrel Krival MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",55.0,genericos.csv
Clopidogrel,5207550,"Clopidogrel Sandoz MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",16.0,genericos.csv
Clopidogrel,5193636,"Clopidogrel Farmoz MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",13.0,genericos.csv
Clopidogrel,5727656,"Clopidogrel Labesfal MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",10.0,genericos.csv
Clopidogrel,5267414,"Clopidogrel Kaissan MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",3.0,genericos.csv
Clopidogrel,5269873,"Clopidogrel Refta MG, 75 mg Blister 28 Unidade(s) Comp revest pelic...[28]",3.0,genericos.csv
Duloxetina,5634738,"Duloxetina toLife MG, 60 mg Blister 28 Unidade(s) Caps GR...[28]",251.0,genericos.csv
Duloxetina,5634159,"Duloxetina Krka MG, 60 mg Blister 28 Unidade(s) Caps GR...[28]",178.0,genericos.csv
Duloxetina,5799648,"Duloxetina Zentiva MG, 60 mg Blister 28 Unidade(s) Caps GR...[28]",103.0,genericos.csv
Duloxetina,5634134,"Duloxetina Krka MG, 30 mg Blister 28 Unidade(s) Caps GR...[28]",89.0,genericos.csv
Duloxetina,5754122,"Duloxetina Generis MG, 60 mg Blister 28 Unidade(s) Caps GR...[28]",33.0,genericos.csv
Duloxetina,5644018,"Duloxetina Aurovitas MG, 60 mg Blister 28 Unidade(s) Caps GR...[28]",16.0,genericos.csv
Duloxetina,5634670,"Duloxetina toLife MG, 30 mg Blister 28 Unidade(s) Caps GR...[28]",14.0,genericos.csv
Duloxetina,5642020,"Duloxetina Farmoz MG, 30 mg x 28 cáps gastrorresistente...[28]",9.0,genericos.csv
Duloxetina,5634662,"Duloxetina toLife MG, 30 mg Blister 7 Unidade(s) Caps GR...[7]",7.0,genericos.csv
Duloxetina,5779319,"Duloxetina Teva MG, 30 mg Blister 28 Unidade(s) Caps GR...[28]",3.0,genericos.csv
Duloxetina,5762075,"Duloxetina Viatris MG, 30 mg Blister 7 Unidade(s) Caps GR...[7]",2.0,genericos.csv
Escitalopram,5451539,"Escitalopram toLife MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",70.0,genericos.csv
Escitalopram,5392915,"Escitalopram Sandoz MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",68.0,genericos.csv
Escitalopram,5307269,"Escitalopram Tecnigen MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",67.0,genericos.csv
Escitalopram,5451810,"Escitalopram Farmoz MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",64.0,genericos.csv
Escitalopram,5392865,"Escitalopram Sandoz MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",48.0,genericos.csv
Escitalopram,5451851,"Escitalopram Farmoz MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",33.0,genericos.csv
Escitalopram,5224910,"Escitalopram Krka MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",30.0,genericos.csv
Escitalopram,5451570,"Escitalopram toLife MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",29.0,genericos.csv
Escitalopram,5224829,"Escitalopram Krka MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",19.0,genericos.csv
Escitalopram,5470018,"Escitalopram Alter Genéricos MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",17.0,genericos.csv
Escitalopram,5719422,"Escitalopram Generis MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",12.0,genericos.csv
Escitalopram,5451943,"Escitalopram Clamed MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",7.0,genericos.csv
Escitalopram,5606041,"Escitalopram ratiopharm MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",7.0,genericos.csv
Escitalopram,5183652,"Escitalopram Teva MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",6.0,genericos.csv
Escitalopram,5450556,"Escitalopram Clamed MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",5.0,genericos.csv
Escitalopram,5469812,"Escitalopram Alter Genéricos MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",4.0,genericos.csv
Escitalopram,5451406,"Escitalopram Tetrafarma MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",4.0,genericos.csv
Escitalopram,5224761,"Escitalopram Krka MG, 10 mg Blister 14 Unidade(s) Comp revest pelic...[14]",2.0,genericos.csv
Escitalopram,5594353,"Escitalopram Aurobindo MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",1.0,genericos.csv
Escitalopram,5306741,"Escitalopram Bluepharma MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",1.0,genericos.csv
Escitalopram,5719505,"Escitalopram Generis MG, 20 mg Blister 56 Unidade(s) Comp revest pelic...[56]",1.0,genericos.csv
Esomeprazol,5289517,"Esomeprazol Krka MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",220.0,genericos.csv
Esomeprazol,5289657,"Esomeprazol Krka MG, 40 mg Blister 56 Unidade(s) Caps GR...[56]",90.0,genericos.csv
Esomeprazol,5899075,"Esomeprazol Generis MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",44.0,genericos.csv
Esomeprazol,5702360,"Esomeprazol Lumec MG, 40 mg Blister 56 Unidade(s) Caps GR...[56]",37.0,genericos.csv
Esomeprazol,5702055,"Esomeprazol Lumec MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",32.0,genericos.csv
Esomeprazol,5899109,"Esomeprazol Generis MG, 40 mg Blister 56 Unidade(s) Caps GR...[56]",26.0,genericos.csv
Esomeprazol,5289442,"Esomeprazol Krka MG, 20 mg Blister 14 Unidade(s) Caps GR...[14]",18.0,genericos.csv
Esomeprazol,5286448,"Esomeprazol Sandoz MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",12.0,genericos.csv
Esomeprazol,5702014,"Esomeprazol Lumec MG, 20 mg Blister 14 Unidade(s) Caps GR...[14]",8.0,genericos.csv
Esomeprazol,5751433,"Esomeprazol Aristo MG, 40 mg Blister 56 Unidade(s) Caps GR...[56]",7.0,genericos.csv
Esomeprazol,5320601,"Esomeprazol Ratiopharm MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",3.0,genericos.csv
Esomeprazol,5286521,"Esomeprazol Sandoz MG, 40 mg Blister 56 Unidade(s) Caps GR...[56]",2.0,genericos.csv
Esomeprazol,5751425,"Esomeprazol Aristo MG, 20 mg Blister 56 Unidade(s) Caps GR...[56]",1.0,genericos.csv
Esomeprazol,5286307,"Esomeprazol Generis MG, 20 mg x 56 cáps gastrorresistente...[56]",1.0,genericos.csv
Esomeprazol,5286422,"Esomeprazol Sandoz MG, 20 mg Blister 14 Unidade(s) Caps GR...[14]",1.0,genericos.csv
Furosemida,5743984,"Furosemida Sandoz MG, 40 mg Blister 60 Unidade(s) Comp...[60]",369.0,genericos.csv
Furosemida,5824412,"Furosemida Farmoz MG, 40 mg Blister 60 Unidade(s) Comp...[60]",82.0,genericos.csv
Furosemida,5836317,"Furosemida tolife MG, 40 mg Blister 60 Unidade(s) Comp...[60]",16.0,genericos.csv
Furosemida,5124078,"Furosemida Pharmakern MG, 40 mg Blister 60 Unidade(s) Comp...[60]",9.0,genericos.csv
Furosemida,5505284,"Furosemida Ratiopharm MG, 40 mg Blister 60 Unidade(s) Comp...[60]",8.0,genericos.csv
Furosemida,5765722,"Furosemida Generis MG, 40 mg Blister 60 Unidade(s) Comp...[60]",2.0,genericos.csv
Gabapentina,5014113,"Gabapentina toLife MG, 100 mg Blister 60 Unidade(s) Caps...[60]",79.0,genericos.csv
Gabapentina,3847399,"Gabapentina Gabamox 100 mg Cápsulas MG, 100 mg Blister 60 Unidade(s) Caps...[60]",71.0,genericos.csv
Gabapentina,5014147,"Gabapentina toLife MG, 300 mg Blister 60 Unidade(s) Caps...[60]",68.0,genericos.csv
Gabapentina,3847894,"Gabapentina Farmoz 300 mg Cápsulas MG, 300 mg Blister 60 Unidade(s) Caps...[60]",56.0,genericos.csv
Gabapentina,3847993,"Gabapentina Farmoz 400 mg Cápsulas MG, 400 mg Blister 60 Unidade(s) Caps...[60]",56.0,genericos.csv
Gabapentina,5017033,"Gabapentina ToLife MG, 600 mg Blister 60 Unidade(s) Comp revest pelic...[60]",33.0,genericos.csv
Gabapentina,5014170,"Gabapentina toLife MG, 400 mg Blister 60 Unidade(s) Caps...[60]",28.0,genericos.csv
Gabapentina,5014006,"Gabapentina Farmoz MG, 600 mg Blister 60 Unidade(s) Comp revest pelic...[60]",27.0,genericos.csv
Gabapentina,3847795,"Gabapentina Farmoz 100 mg Cápsulas MG, 100 mg Blister 60 Unidade(s) Caps...[60]",26.0,genericos.csv
